1	100	5
2	1	7
3	2	3
4	3	2
5	4	3
6	5	6
7	6	5
8	7	8
9	8	7
10	9	10
11	10	4
12	11	8
13	12	5
14	13	8
15	14	5
16	15	2
17	16	8
18	17	4
19	18	2
20	19	4
21	20	7
22	21	5
23	22	8
24	23	10
25	24	10
26	25	2
27	26	6
28	27	5
29	28	5
30	29	2
31	30	8
32	31	9
33	32	9
34	33	6
35	34	6
36	35	7
37	36	3
38	37	8
39	38	5
40	39	10
41	40	8
42	41	10
43	42	7
44	43	8
45	44	7
46	45	6
47	46	7
48	47	9
49	48	4
50	49	5
51	50	4
52	51	6
53	52	8
54	53	3
55	54	8
56	55	4
57	56	4
58	57	4
59	58	3
60	59	7
61	60	5
62	61	6
63	62	2
64	63	8
65	64	2
66	65	3
67	66	5
68	67	4
69	68	5
70	69	7
71	70	3
72	71	2
73	72	2
74	73	6
75	74	10
76	75	10
77	76	5
78	77	7
79	78	7
80	79	3
81	80	10
82	81	8
83	82	5
84	83	7
85	84	7
86	85	6
87	86	8
88	87	9
89	88	4
90	89	7
91	90	2
92	91	10
93	92	9
94	93	4
95	94	8
96	95	3
97	96	10
98	97	10
99	98	5
100	99	3
1	2	6
2	3	10
3	4	5
4	5	10
5	6	5
6	7	7
7	8	2
8	9	6
9	10	7
10	11	5
11	12	10
12	13	8
13	14	5
14	15	2
15	16	2
16	17	4
17	18	4
18	19	6
19	20	9
20	21	4
21	22	8
22	23	8
23	24	5
24	25	7
25	26	7
26	27	2
27	28	2
28	29	4
29	30	3
30	31	8
31	32	10
32	33	2
33	34	6
34	35	5
35	36	5
36	37	6
37	38	8
38	39	7
39	40	3
40	41	4
41	42	5
42	43	2
43	44	3
44	45	3
45	46	4
46	47	8
47	48	4
48	49	7
49	50	5
50	51	6
51	52	9
52	53	7
53	54	9
54	55	6
55	56	6
56	57	3
57	58	2
58	59	2
59	60	7
60	61	5
61	62	2
62	63	5
63	64	5
64	65	10
65	66	2
66	67	3
67	68	3
68	69	4
69	70	10
70	71	6
71	72	2
72	73	9
73	74	10
74	75	8
75	76	7
76	77	3
77	78	3
78	79	10
79	80	6
80	81	4
81	82	10
82	83	9
83	84	5
84	85	4
85	86	5
86	87	6
87	88	4
88	89	4
89	90	8
90	91	8
91	92	10
92	93	2
93	94	3
94	95	5
95	96	3
96	97	3
97	98	8
98	99	9
99	100	5
100	1	8
1	11	8
2	12	2
3	13	7
4	14	9
5	15	1
6	16	7
7	17	5
8	18	7
9	19	6
10	20	3
11	21	9
12	22	9
13	23	8
14	24	3
15	25	1
16	26	9
17	27	10
18	28	5
19	29	5
20	30	9
21	31	7
22	32	5
23	33	2
24	34	2
25	35	1
26	36	8
27	37	6
28	38	2
29	39	4
30	40	2
31	41	4
32	42	10
33	43	6
34	44	10
35	45	1
36	46	4
37	47	7
38	48	8
39	49	3
40	50	9
41	51	9
42	52	3
43	53	6
44	54	2
45	55	1
46	56	10
47	57	3
48	58	2
49	59	5
50	60	6
51	61	4
52	62	4
53	63	3
54	64	5
55	65	1
56	66	5
57	67	4
58	68	5
59	69	9
60	70	3
61	71	5
62	72	5
63	73	10
64	74	9
65	75	1
66	76	9
67	77	5
68	78	10
69	79	2
70	80	7
71	81	8
72	82	4
73	83	6
74	84	9
75	85	1
76	86	5
77	87	8
78	88	5
79	89	2
80	90	8
81	91	10
82	92	5
83	93	9
84	94	7
85	95	1
86	96	3
87	97	3
88	98	4
89	99	5
90	100	7
91	1	10
92	2	9
93	3	2
94	4	7
95	5	1
96	6	4
97	7	9
98	8	4
99	9	4
100	10	3
